Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_UW_Normal,Tot_MUW,Tot_SUW,Tot_Wasting_Normal,Tot_Wasting_MAM,Tot_Wasting_SAM,Tot_Stunting_Normal,Tot_Stunting_MAM,Tot_Stunting_SAM
2025,8,MANCHERIAL,MANCHERIAL,ASHOK ROAD,1909283,Bhagathnagar,53,2,3,53,4,1,47,9,2
2025,8,NIRMAL,NIRMAL,Bangalpet,1912002,CHINTAKUNTAWADA-II,57,1,0,57,1,0,45,9,4
2025,8,MULUGU,MULUGU,Mulugu,2111171,Devagiripatnamthanda,18,0,0,17,1,0,17,1,0
2025,8,MULUGU,MULUGU,Mulugu,2111014,Madanapalli - III,29,3,0,30,2,0,28,4,0
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Nayakulagudem,2215098,Bupeshnagar,22,1,0,23,0,0,22,1,0
2025,8,MANCHERIAL,MANCHERIAL,MANDAMARRI,1909228,Lemur,56,3,2,60,1,0,29,28,4
2025,8,MANCHERIAL,MANCHERIAL,OLD MANCHERIAL,1909194,L I C Coloney,44,6,0,48,2,0,31,17,2
2025,8,MULUGU,MULUGU,VENKATAPUR,2111239,KADAVADA,33,0,0,31,2,0,22,7,4
2025,8,MULUGU,MULUGU,Jangalapalli,2111137,Rainigudem - II,13,3,0,15,1,0,14,2,0
2025,8,NIRMAL,NIRMAL,Sarangapur,1912159,ADELLI,61,1,0,61,1,0,58,4,0
2025,8,BHADRADRI-KOTHAGUDEM,YELLANDU,Komararam,2215391,Bichya thanda,21,2,0,23,0,0,12,11,0
2025,8,NIRMAL,NIRMAL,Sharathmahal,1912057,MARKETAREA,75,0,1,75,1,0,75,0,1
2025,8,MANCHERIAL,MANCHERIAL,RAMAN COLONY,1910062,Shanthi Nagar-II,27,3,1,30,1,0,26,2,3
2025,8,PEDDAPALLI,MANTHANI,GUNJAPADUGU,2010002,Gunjapadugu -1,30,4,0,32,2,0,30,4,0
2025,8,KHAMMAM,KHAMMAM (R),Chinthakani,2205190,Narasimhapuram-2,17,2,0,18,1,0,15,4,0
2025,8,KHAMMAM,KHAMMAM (R),Chinthakani,2205192,Lachagudem - II,29,2,2,30,2,1,19,9,5
2025,8,NALGONDA,DAMERCHERLA,kondrapolu,2307136,Keshavapuram,19,2,0,20,1,0,19,2,0
2025,8,NALGONDA,DAMERCHERLA,kondrapolu,2307236,Daniyalabanda Thanda,8,0,0,8,0,0,5,2,1
2025,8,NALGONDA,DAMERCHERLA,Adavidevulapally,2307255,Adavidevulapally-5,37,4,0,40,1,0,36,3,2
2025,8,WANAPARTHY,WANAPARTHY,Khilla Ghanapur,1419102,Tirumalai Pally,48,1,0,48,1,0,31,15,3
2025,8,WANAPARTHY,WANAPARTHY,Peddamandadi,1419153,Anakaipallythanda,10,2,0,11,1,0,10,2,0
2025,8,NALGONDA,DAMERCHERLA,Thripuraram,2314273,Neelaigudem,37,0,1,36,2,0,32,4,2
2025,8,WANAPARTHY,WANAPARTHY,Rajapeta,1419053,Nagavaram-3,43,5,2,49,1,0,40,9,1
2025,8,KHAMMAM,KHAMMAM (R),Thanikella,2205139,Thanikella - 2,73,6,2,81,0,0,70,5,6
